BARCODE,ARR_DESIGN,EXP_ID,GROUP_ID,INDIVIDUAL_ID,ORGAN,MATERIAL_ID,COMPOUND_NAME,COMPOUND_ABBREVIATION,COMPOUND_NO,SPECIES,EXP_TEST_TYPE,SINGLE_REPEAT_TYPE,SEX_TYPE,STRAIN_TYPE,ADMINISTRATION_ROUTE_TYPE,ANIMAL_AGE(week),SACRIFICE_PERIOD,DOSE,DOSE_UNIT,DOSE_LEVEL
003017811027,Rat230_2,0040,18,5,Kidney,A,acetaminophen,APAP,00001,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,Gavage,6,9 hr,600,mg/kg,Middle
003017645030,Rat230_2,0040,19,1,Liver,B,acetaminophen,APAP,00001,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,Gavage,6,24 hr,600,mg/kg,Middle
003017814027,Rat230_2,0040,19,1,Kidney,B,acetaminophen,APAP,00001,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,Gavage,6,24 hr,600,mg/kg,Middle
003017646001,Rat230_2,0040,19,3,Liver,B,acetaminophen,APAP,00001,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,Gavage,6,24 hr,600,mg/kg,Middle
003017814028,Rat230_2,0040,19,3,Kidney,A,acetaminophen,APAP,00001,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,Gavage,6,24 hr,600,mg/kg,Middle
003017646002,Rat230_2,0040,19,5,Liver,B,acetaminophen,APAP,00001,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,Gavage,6,24 hr,600,mg/kg,Middle
003017814029,Rat230_2,0040,19,5,Kidney,A,acetaminophen,APAP,00001,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,Gavage,6,24 hr,600,mg/kg,Middle
003017644027,Rat230_2,0040,21,2,Liver,B,acetaminophen,APAP,00001,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,Gavage,6,3 hr,1000,mg/kg,High
003017804024,Rat230_2,0040,21,2,Kidney,B,acetaminophen,APAP,00001,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,Gavage,6,3 hr,1000,mg/kg,High
003017644028,Rat230_2,0040,21,4,Liver,B,acetaminophen,APAP,00001,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,Gavage,6,3 hr,1000,mg/kg,High
003017804025,Rat230_2,0040,21,4,Kidney,B,acetaminophen,APAP,00001,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,Gavage,6,3 hr,1000,mg/kg,High
003017644029,Rat230_2,0040,21,5,Liver,B,acetaminophen,APAP,00001,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,Gavage,6,3 hr,1000,mg/kg,High
003017804026,Rat230_2,0040,21,5,Kidney,A,acetaminophen,APAP,00001,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,Gavage,6,3 hr,1000,mg/kg,High
003017645009,Rat230_2,0040,22,1,Liver,B,acetaminophen,APAP,00001,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,Gavage,6,6 hr,1000,mg/kg,High
003017808018,Rat230_2,0040,22,1,Kidney,A,acetaminophen,APAP,00001,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,Gavage,6,6 hr,1000,mg/kg,High
003017645010,Rat230_2,0040,22,2,Liver,B,acetaminophen,APAP,00001,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,Gavage,6,6 hr,1000,mg/kg,High
003017808019,Rat230_2,0040,22,2,Kidney,A,acetaminophen,APAP,00001,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,Gavage,6,6 hr,1000,mg/kg,High
003017645011,Rat230_2,0040,22,3,Liver,B,acetaminophen,APAP,00001,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,Gavage,6,6 hr,1000,mg/kg,High
003017808020,Rat230_2,0040,22,3,Kidney,A,acetaminophen,APAP,00001,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,Gavage,6,6 hr,1000,mg/kg,High
003017645021,Rat230_2,0040,23,1,Liver,B,acetaminophen,APAP,00001,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,Gavage,6,9 hr,1000,mg/kg,High
003017811028,Rat230_2,0040,23,1,Kidney,A,acetaminophen,APAP,00001,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,Gavage,6,9 hr,1000,mg/kg,High
003017645022,Rat230_2,0040,23,4,Liver,B,acetaminophen,APAP,00001,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,Gavage,6,9 hr,1000,mg/kg,High
003017811029,Rat230_2,0040,23,4,Kidney,B,acetaminophen,APAP,00001,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,Gavage,6,9 hr,1000,mg/kg,High
003017645023,Rat230_2,0040,23,5,Liver,B,acetaminophen,APAP,00001,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,Gavage,6,9 hr,1000,mg/kg,High
003017811030,Rat230_2,0040,23,5,Kidney,B,acetaminophen,APAP,00001,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,Gavage,6,9 hr,1000,mg/kg,High
003017646003,Rat230_2,0040,24,2,Liver,B,acetaminophen,APAP,00001,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,Gavage,6,24 hr,1000,mg/kg,High
003017814030,Rat230_2,0040,24,2,Kidney,A,acetaminophen,APAP,00001,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,Gavage,6,24 hr,1000,mg/kg,High
003017646004,Rat230_2,0040,24,4,Liver,B,acetaminophen,APAP,00001,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,Gavage,6,24 hr,1000,mg/kg,High
003017815001,Rat230_2,0040,24,4,Kidney,A,acetaminophen,APAP,00001,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,Gavage,6,24 hr,1000,mg/kg,High
003017646005,Rat230_2,0040,24,5,Liver,B,acetaminophen,APAP,00001,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,Gavage,6,24 hr,1000,mg/kg,High
003017815002,Rat230_2,0040,24,5,Kidney,C,acetaminophen,APAP,00001,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,Gavage,6,24 hr,1000,mg/kg,High
003017642030,Rat230_2,0042,01,1,Liver,B,acetaminophen,APAP,00001,Rat,in vivo,Repeat,Male,Crj:CD(SD)IGS,Gavage,6,4 day,0,mg/kg,Control
003017817015,Rat230_2,0042,01,1,Kidney,A,acetaminophen,APAP,00001,Rat,in vivo,Repeat,Male,Crj:CD(SD)IGS,Gavage,6,4 day,0,mg/kg,Control
003017643001,Rat230_2,0042,01,4,Liver,B,acetaminophen,APAP,00001,Rat,in vivo,Repeat,Male,Crj:CD(SD)IGS,Gavage,6,4 day,0,mg/kg,Control
003017817016,Rat230_2,0042,01,4,Kidney,A,acetaminophen,APAP,00001,Rat,in vivo,Repeat,Male,Crj:CD(SD)IGS,Gavage,6,4 day,0,mg/kg,Control
003017643002,Rat230_2,0042,01,5,Liver,B,acetaminophen,APAP,00001,Rat,in vivo,Repeat,Male,Crj:CD(SD)IGS,Gavage,6,4 day,0,mg/kg,Control
003017817017,Rat230_2,0042,01,5,Kidney,A,acetaminophen,APAP,00001,Rat,in vivo,Repeat,Male,Crj:CD(SD)IGS,Gavage,6,4 day,0,mg/kg,Control
003017643012,Rat230_2,0042,02,1,Liver,B,acetaminophen,APAP,00001,Rat,in vivo,Repeat,Male,Crj:CD(SD)IGS,Gavage,6,8 day,0,mg/kg,Control
003017820001,Rat230_2,0042,02,1,Kidney,B,acetaminophen,APAP,00001,Rat,in vivo,Repeat,Male,Crj:CD(SD)IGS,Gavage,6,8 day,0,mg/kg,Control
003017643013,Rat230_2,0042,02,3,Liver,B,acetaminophen,APAP,00001,Rat,in vivo,Repeat,Male,Crj:CD(SD)IGS,Gavage,6,8 day,0,mg/kg,Control
003017820002,Rat230_2,0042,02,3,Kidney,B,acetaminophen,APAP,00001,Rat,in vivo,Repeat,Male,Crj:CD(SD)IGS,Gavage,6,8 day,0,mg/kg,Control
003017643014,Rat230_2,0042,02,5,Liver,B,acetaminophen,APAP,00001,Rat,in vivo,Repeat,Male,Crj:CD(SD)IGS,Gavage,6,8 day,0,mg/kg,Control
003017820003,Rat230_2,0042,02,5,Kidney,A,acetaminophen,APAP,00001,Rat,in vivo,Repeat,Male,Crj:CD(SD)IGS,Gavage,6,8 day,0,mg/kg,Control
003017643024,Rat230_2,0042,03,2,Liver,B,acetaminophen,APAP,00001,Rat,in vivo,Repeat,Male,Crj:CD(SD)IGS,Gavage,6,15 day,0,mg/kg,Control
003017821007,Rat230_2,0042,03,2,Kidney,B,acetaminophen,APAP,00001,Rat,in vivo,Repeat,Male,Crj:CD(SD)IGS,Gavage,6,15 day,0,mg/kg,Control
003017643025,Rat230_2,0042,03,3,Liver,B,acetaminophen,APAP,00001,Rat,in vivo,Repeat,Male,Crj:CD(SD)IGS,Gavage,6,15 day,0,mg/kg,Control
003017821008,Rat230_2,0042,03,3,Kidney,C,acetaminophen,APAP,00001,Rat,in vivo,Repeat,Male,Crj:CD(SD)IGS,Gavage,6,15 day,0,mg/kg,Control
003017643026,Rat230_2,0042,03,5,Liver,B,acetaminophen,APAP,00001,Rat,in vivo,Repeat,Male,Crj:CD(SD)IGS,Gavage,6,15 day,0,mg/kg,Control
003017821009,Rat230_2,0042,03,5,Kidney,A,acetaminophen,APAP,00001,Rat,in vivo,Repeat,Male,Crj:CD(SD)IGS,Gavage,6,15 day,0,mg/kg,Control
003017644006,Rat230_2,0042,04,1,Liver,B,acetaminophen,APAP,00001,Rat,in vivo,Repeat,Male,Crj:CD(SD)IGS,Gavage,6,29 day,0,mg/kg,Control
003017821019,Rat230_2,0042,04,1,Kidney,A,acetaminophen,APAP,00001,Rat,in vivo,Repeat,Male,Crj:CD(SD)IGS,Gavage,6,29 day,0,mg/kg,Control
003017644007,Rat230_2,0042,04,2,Liver,B,acetaminophen,APAP,00001,Rat,in vivo,Repeat,Male,Crj:CD(SD)IGS,Gavage,6,29 day,0,mg/kg,Control
003017821020,Rat230_2,0042,04,2,Kidney,A,acetaminophen,APAP,00001,Rat,in vivo,Repeat,Male,Crj:CD(SD)IGS,Gavage,6,29 day,0,mg/kg,Control
003017644008,Rat230_2,0042,04,4,Liver,C,acetaminophen,APAP,00001,Rat,in vivo,Repeat,Male,Crj:CD(SD)IGS,Gavage,6,29 day,0,mg/kg,Control
003017838016,Rat230_2,0042,04,4,Kidney,B,acetaminophen,APAP,00001,Rat,in vivo,Repeat,Male,Crj:CD(SD)IGS,Gavage,6,29 day,0,mg/kg,Control
003017643003,Rat230_2,0042,09,1,Liver,B,acetaminophen,APAP,00001,Rat,in vivo,Repeat,Male,Crj:CD(SD)IGS,Gavage,6,4 day,300,mg/kg,Low
003017817018,Rat230_2,0042,09,1,Kidney,B,acetaminophen,APAP,00001,Rat,in vivo,Repeat,Male,Crj:CD(SD)IGS,Gavage,6,4 day,300,mg/kg,Low
003017643004,Rat230_2,0042,09,2,Liver,B,acetaminophen,APAP,00001,Rat,in vivo,Repeat,Male,Crj:CD(SD)IGS,Gavage,6,4 day,300,mg/kg,Low
003017817019,Rat230_2,0042,09,2,Kidney,A,acetaminophen,APAP,00001,Rat,in vivo,Repeat,Male,Crj:CD(SD)IGS,Gavage,6,4 day,300,mg/kg,Low
003017643005,Rat230_2,0042,09,4,Liver,B,acetaminophen,APAP,00001,Rat,in vivo,Repeat,Male,Crj:CD(SD)IGS,Gavage,6,4 day,300,mg/kg,Low
003017817020,Rat230_2,0042,09,4,Kidney,B,acetaminophen,APAP,00001,Rat,in vivo,Repeat,Male,Crj:CD(SD)IGS,Gavage,6,4 day,300,mg/kg,Low
003017643015,Rat230_2,0042,10,1,Liver,B,acetaminophen,APAP,00001,Rat,in vivo,Repeat,Male,Crj:CD(SD)IGS,Gavage,6,8 day,300,mg/kg,Low
003017820004,Rat230_2,0042,10,1,Kidney,A,acetaminophen,APAP,00001,Rat,in vivo,Repeat,Male,Crj:CD(SD)IGS,Gavage,6,8 day,300,mg/kg,Low
003017643016,Rat230_2,0042,10,4,Liver,C,acetaminophen,APAP,00001,Rat,in vivo,Repeat,Male,Crj:CD(SD)IGS,Gavage,6,8 day,300,mg/kg,Low
003017820005,Rat230_2,0042,10,4,Kidney,A,acetaminophen,APAP,00001,Rat,in vivo,Repeat,Male,Crj:CD(SD)IGS,Gavage,6,8 day,300,mg/kg,Low
003017643017,Rat230_2,0042,10,5,Liver,B,acetaminophen,APAP,00001,Rat,in vivo,Repeat,Male,Crj:CD(SD)IGS,Gavage,6,8 day,300,mg/kg,Low
003017820006,Rat230_2,0042,10,5,Kidney,A,acetaminophen,APAP,00001,Rat,in vivo,Repeat,Male,Crj:CD(SD)IGS,Gavage,6,8 day,300,mg/kg,Low
003017643027,Rat230_2,0042,11,1,Liver,B,acetaminophen,APAP,00001,Rat,in vivo,Repeat,Male,Crj:CD(SD)IGS,Gavage,6,15 day,300,mg/kg,Low
003017821010,Rat230_2,0042,11,1,Kidney,B,acetaminophen,APAP,00001,Rat,in vivo,Repeat,Male,Crj:CD(SD)IGS,Gavage,6,15 day,300,mg/kg,Low
003017643028,Rat230_2,0042,11,4,Liver,B,acetaminophen,APAP,00001,Rat,in vivo,Repeat,Male,Crj:CD(SD)IGS,Gavage,6,15 day,300,mg/kg,Low
003017821011,Rat230_2,0042,11,4,Kidney,C,acetaminophen,APAP,00001,Rat,in vivo,Repeat,Male,Crj:CD(SD)IGS,Gavage,6,15 day,300,mg/kg,Low
003017643029,Rat230_2,0042,11,5,Liver,B,acetaminophen,APAP,00001,Rat,in vivo,Repeat,Male,Crj:CD(SD)IGS,Gavage,6,15 day,300,mg/kg,Low
003017821012,Rat230_2,0042,11,5,Kidney,A,acetaminophen,APAP,00001,Rat,in vivo,Repeat,Male,Crj:CD(SD)IGS,Gavage,6,15 day,300,mg/kg,Low
003017644009,Rat230_2,0042,12,2,Liver,C,acetaminophen,APAP,00001,Rat,in vivo,Repeat,Male,Crj:CD(SD)IGS,Gavage,6,29 day,300,mg/kg,Low
003017821022,Rat230_2,0042,12,2,Kidney,C,acetaminophen,APAP,00001,Rat,in vivo,Repeat,Male,Crj:CD(SD)IGS,Gavage,6,29 day,300,mg/kg,Low
003017644010,Rat230_2,0042,12,3,Liver,C,acetaminophen,APAP,00001,Rat,in vivo,Repeat,Male,Crj:CD(SD)IGS,Gavage,6,29 day,300,mg/kg,Low
003017821023,Rat230_2,0042,12,3,Kidney,B,acetaminophen,APAP,00001,Rat,in vivo,Repeat,Male,Crj:CD(SD)IGS,Gavage,6,29 day,300,mg/kg,Low
003017644011,Rat230_2,0042,12,5,Liver,C,acetaminophen,APAP,00001,Rat,in vivo,Repeat,Male,Crj:CD(SD)IGS,Gavage,6,29 day,300,mg/kg,Low
003017821024,Rat230_2,0042,12,5,Kidney,A,acetaminophen,APAP,00001,Rat,in vivo,Repeat,Male,Crj:CD(SD)IGS,Gavage,6,29 day,300,mg/kg,Low
003017643006,Rat230_2,0042,13,3,Liver,B,acetaminophen,APAP,00001,Rat,in vivo,Repeat,Male,Crj:CD(SD)IGS,Gavage,6,4 day,600,mg/kg,Middle
003017817021,Rat230_2,0042,13,3,Kidney,B,acetaminophen,APAP,00001,Rat,in vivo,Repeat,Male,Crj:CD(SD)IGS,Gavage,6,4 day,600,mg/kg,Middle
003017643007,Rat230_2,0042,13,4,Liver,B,acetaminophen,APAP,00001,Rat,in vivo,Repeat,Male,Crj:CD(SD)IGS,Gavage,6,4 day,600,mg/kg,Middle
